Public acute group B hospitals,Emergency,WA,less_4hr_all,47.2571
Public acute group B hospitals,Urgent,WA,less_4hr_all,51.6444
Public acute group B hospitals,Semi-urgent,WA,less_4hr_all,72.4002
Public acute group B hospitals,Non-urgent,WA,less_4hr_all,84.1125
Public acute group C hospitals,Resuscitation,WA,less_4hr_all,31.211
Public acute group C hospitals,Emergency,WA,less_4hr_all,47.6318
Public acute group C hospitals,Urgent,WA,less_4hr_all,63.4767
Public acute group C hospitals,Semi-urgent,WA,less_4hr_all,84.727
Public acute group C hospitals,Non-urgent,WA,less_4hr_all,92.8066
All hospitals,Resuscitation,WA,less_4hr_all,41.5627
All hospitals,Emergency,WA,less_4hr_all,42.4623
All hospitals,Urgent,WA,less_4hr_all,43.4901
All hospitals,Semi-urgent,WA,less_4hr_all,65.999
All hospitals,Non-urgent,WA,less_4hr_all,84.3845
Principal referral and womens and children's hospitals,Resuscitation,SA,less_4hr_all,42.9355
Principal referral and womens and children's hospitals,Emergency,SA,less_4hr_all,35.2992
Principal referral and womens and children's hospitals,Urgent,SA,less_4hr_all,37.3247
Principal referral and womens and children's hospitals,Semi-urgent,SA,less_4hr_all,57.1505
Principal referral and womens and children's hospitals,Non-urgent,SA,less_4hr_all,72.491
Public acute group A hospitals,Resuscitation,SA,less_4hr_all,40.1977
Public acute group A hospitals,Emergency,SA,less_4hr_all,35.7892
Public acute group A hospitals,Urgent,SA,less_4hr_all,29.2076
Public acute group A hospitals,Semi-urgent,SA,less_4hr_all,46.2287
Public acute group A hospitals,Non-urgent,SA,less_4hr_all,71.2096
Public acute group B hospitals,Resuscitation,SA,less_4hr_all,40.6654
Public acute group B hospitals,Emergency,SA,less_4hr_all,42.6378
Public acute group B hospitals,Urgent,SA,less_4hr_all,44.9295
Public acute group B hospitals,Semi-urgent,SA,less_4hr_all,66.4138
Public acute group B hospitals,Non-urgent,SA,less_4hr_all,85.5061
Public acute group C hospitals,Resuscitation,SA,less_4hr_all,46.5211
Public acute group C hospitals,Emergency,SA,less_4hr_all,53.3929
Public acute group C hospitals,Urgent,SA,less_4hr_all,57.4994
Public acute group C hospitals,Semi-urgent,SA,less_4hr_all,76.4826
Public acute group C hospitals,Non-urgent,SA,less_4hr_all,89.9912
All hospitals,Resuscitation,SA,less_4hr_all,42.3002
All hospitals,Emergency,SA,less_4hr_all,39.1624
All hospitals,Urgent,SA,less_4hr_all,40.5008
All hospitals,Semi-urgent,SA,less_4hr_all,61.5713
All hospitals,Non-urgent,SA,less_4hr_all,80.0006
Principal referral and womens and children's hospitals,Resuscitation,Tas,less_4hr_all,48.3025
Principal referral and womens and children's hospitals,Emergency,Tas,less_4hr_all,39.3806
Principal referral and womens and children's hospitals,Urgent,Tas,less_4hr_all,37.0795
Principal referral and womens and children's hospitals,Semi-urgent,Tas,less_4hr_all,50.2741
Principal referral and womens and children's hospitals,Non-urgent,Tas,less_4hr_all,68.0804
Public acute group A hospitals,Resuscitation,Tas,less_4hr_all,41.9805
Public acute group A hospitals,Emergency,Tas,less_4hr_all,30.3776
Public acute group A hospitals,Urgent,Tas,less_4hr_all,34.6678
Public acute group A hospitals,Semi-urgent,Tas,less_4hr_all,58.7102
Public acute group A hospitals,Non-urgent,Tas,less_4hr_all,79.3478
Public acute group B hospitals,Resuscitation,Tas,less_4hr_all,45.4545
Public acute group B hospitals,Emergency,Tas,less_4hr_all,46.0582
Public acute group B hospitals,Urgent,Tas,less_4hr_all,61.3242
Public acute group B hospitals,Semi-urgent,Tas,less_4hr_all,81.7596
Public acute group B hospitals,Non-urgent,Tas,less_4hr_all,92.1307
All hospitals,Resuscitation,Tas,less_4hr_all,45
All hospitals,Emergency,Tas,less_4hr_all,35.9855
All hospitals,Urgent,Tas,less_4hr_all,39.2354
All hospitals,Semi-urgent,Tas,less_4hr_all,61.6556
All hospitals,Non-urgent,Tas,less_4hr_all,76.0923
Principal referral and womens and children's hospitals,Resuscitation,ACT,less_4hr_all,51.4286
Principal referral and womens and children's hospitals,Emergency,ACT,less_4hr_all,54.0433
Principal referral and womens and children's hospitals,Urgent,ACT,less_4hr_all,54.3323
Principal referral and womens and children's hospitals,Semi-urgent,ACT,less_4hr_all,67.9879
Principal referral and womens and children's hospitals,Non-urgent,ACT,less_4hr_all,83.0899
Public acute group A hospitals,Resuscitation,ACT,less_4hr_all,41.5254
Public acute group A hospitals,Emergency,ACT,less_4hr_all,59.4496
Public acute group A hospitals,Urgent,ACT,less_4hr_all,52.2769
Public acute group A hospitals,Semi-urgent,ACT,less_4hr_all,67.6134
Public acute group A hospitals,Non-urgent,ACT,less_4hr_all,84.65
All hospitals,Resuscitation,ACT,less_4hr_all,49.1835
All hospitals,Emergency,ACT,less_4hr_all,55.6922
All hospitals,Urgent,ACT,less_4hr_all,53.5419
All hospitals,Semi-urgent,ACT,less_4hr_all,67.8342
All hospitals,Non-urgent,ACT,less_4hr_all,83.7247
Principal referral and womens and children's hospitals,Resuscitation,NT,less_4hr_all,36.978
Principal referral and womens and children's hospitals,Emergency,NT,less_4hr_all,30.2963
Principal referral and womens and children's hospitals,Urgent,NT,less_4hr_all,31.6472
Principal referral and womens and children's hospitals,Semi-urgent,NT,less_4hr_all,45.8908
Principal referral and womens and children's hospitals,Non-urgent,NT,less_4hr_all,62.6122
Public acute group A hospitals,Resuscitation,NT,less_4hr_all,56.4885
Public acute group A hospitals,Emergency,NT,less_4hr_all,50.5222
Public acute group A hospitals,Urgent,NT,less_4hr_all,54.9127
Public acute group A hospitals,Semi-urgent,NT,less_4hr_all,70.5849
Public acute group A hospitals,Non-urgent,NT,less_4hr_all,78.9559
Public acute group C hospitals,Resuscitation,NT,less_4hr_all,35.9375
Public acute group C hospitals,Emergency,NT,less_4hr_all,47.3409
Public acute group C hospitals,Urgent,NT,less_4hr_all,52.1294
Public acute group C hospitals,Semi-urgent,NT,less_4hr_all,68.8711
Public acute group C hospitals,Non-urgent,NT,less_4hr_all,85.9137
All hospitals,Resuscitation,NT,less_4hr_all,39.3785
All hospitals,Emergency,NT,less_4hr_all,40.3197
All hospitals,Urgent,NT,less_4hr_all,44.906
All hospitals,Semi-urgent,NT,less_4hr_all,61.6941
All hospitals,Non-urgent,NT,less_4hr_all,79.0035
Principal referral and womens and children's hospitals,Resuscitation,NSW,less_4hr_admitted,38.4639
Principal referral and womens and children's hospitals,Emergency,NSW,less_4hr_admitted,23.548
Principal referral and womens and children's hospitals,Urgent,NSW,less_4hr_admitted,20.5093
Principal referral and womens and children's hospitals,Semi-urgent,NSW,less_4hr_admitted,24.4962
